
 !***TRACE Bacon number     1 on file (43)***

 I         126 X  5.50000E+02 Y  2.44482E+01 Z  1.52500E+02 AT           0
 I         127 X  5.16576E+02 Y  6.39040E+01 Z  1.60000E+02 AT           0
 I         128 X  5.25556E+02 Y  6.12997E+01 Z  1.60000E+02 AT           0
 I         129 X  5.33685E+02 Y  5.66820E+01 Z  1.60000E+02 AT           0
 I         130 X  5.40521E+02 Y  5.03034E+01 Z  1.60000E+02 AT           0
 I         131 X  5.45689E+02 Y  4.25123E+01 Z  1.60000E+02 AT           0
 I         132 X  5.48907E+02 Y  3.37352E+01 Z  1.60000E+02 AT           0
 I         133 X  5.50000E+02 Y  2.44482E+01 Z  1.60000E+02 AT           0
 I         134 X  5.16576E+02 Y  6.39040E+01 Z  1.67500E+02 AT           0
 I         135 X  5.25556E+02 Y  6.12997E+01 Z  1.67500E+02 AT           0
 I         136 X  5.33685E+02 Y  5.66820E+01 Z  1.67500E+02 AT           0
 I         137 X  5.40521E+02 Y  5.03034E+01 Z  1.67500E+02 AT           0
 I         138 X  5.45689E+02 Y  4.25123E+01 Z  1.67500E+02 AT           0
 I         139 X  5.48907E+02 Y  3.37352E+01 Z  1.67500E+02 AT           0
 I         140 X  5.50000E+02 Y  2.44482E+01 Z  1.67500E+02 AT           0
 I         141 X  5.16576E+02 Y  6.39040E+01 Z  1.75000E+02 AT           0
 I         142 X  5.25556E+02 Y  6.12997E+01 Z  1.75000E+02 AT           0
 I         143 X  5.33685E+02 Y  5.66820E+01 Z  1.75000E+02 AT           0
 I         144 X  5.40521E+02 Y  5.03034E+01 Z  1.75000E+02 AT           0
 I         145 X  5.45689E+02 Y  4.25123E+01 Z  1.75000E+02 AT           0
 I         146 X  5.48907E+02 Y  3.37352E+01 Z  1.75000E+02 AT           0
 I         147 X  5.50000E+02 Y  2.44482E+01 Z  1.75000E+02 AT           0
 I         155 X  5.50000E+02 Y  2.44482E+01 Z  1.25000E+01 AT           0
 I         156 X  5.45688E+02 Y  4.25133E+01 Z  1.25000E+01 AT           0
 I         157 X  5.33684E+02 Y  5.66827E+01 Z  1.25000E+01 AT           0
