
 !***TRACE Bacon number     1 on file (47)***


 (1.n)= n (average) component(s) per node
 (2.n)= n (average) component(s) per element
 (3.n)= n component(s) per node per element

 --------------------------------------------------
 | Nodes |           Displ.(X,Y,Z)(1.3)           |
 |   123 |  1.79892E-02  1.06273E-01 -8.95361E-02 |
 |   124 |  1.47981E-02  1.03896E-01 -7.88520E-02 |
 |   125 |  8.51486E-03  1.02550E-01 -6.29231E-02 |
 |   126 |  8.84569E-05  1.01085E-01 -4.70099E-02 |
 |   127 |  2.54916E-02  1.27350E-01 -1.05664E-01 |
 |   128 |  2.44136E-02  1.25283E-01 -1.02934E-01 |
 |   129 |  2.33357E-02  1.23216E-01 -1.00205E-01 |
 |   130 |  2.01446E-02  1.20840E-01 -8.95205E-02 |
 |   131 |  1.69536E-02  1.18463E-01 -7.88363E-02 |
 |   132 |  8.52716E-03  1.16997E-01 -6.29231E-02 |
 |   133 |  1.00753E-04  1.15531E-01 -4.70099E-02 |
 |   134 |  2.75384E-02  1.40340E-01 -1.05648E-01 |
 |   135 |  2.64605E-02  1.38273E-01 -1.02918E-01 |
 |   136 |  2.43808E-02  1.35660E-01 -1.00123E-01 |
 |   137 |  2.11897E-02  1.33283E-01 -8.94393E-02 |
 |   138 |  1.71604E-02  1.31449E-01 -7.87084E-02 |
 |   139 |  8.73404E-03  1.29983E-01 -6.27952E-02 |
 |   140 |  1.13049E-04  1.29978E-01 -4.70099E-02 |
 |   141 |  2.95853E-02  1.53330E-01 -1.05631E-01 |
 |   142 |  2.75056E-02  1.50716E-01 -1.02837E-01 |
 |   143 |  2.54259E-02  1.48103E-01 -1.00042E-01 |
 |   144 |  2.13966E-02  1.46269E-01 -8.93113E-02 |
 |   145 |  1.73673E-02  1.44435E-01 -7.85804E-02 |
 |   146 |  8.74634E-03  1.44430E-01 -6.27952E-02 |
 |   147 |  1.25346E-04  1.44424E-01 -4.70099E-02 |
 |   155 | -1.22825E-02 -1.68057E-01 -4.66840E-02 |
 |   156 | -2.64409E-02 -1.70174E-01 -7.81768E-02 |
 |   157 | -3.43308E-02 -1.76013E-01 -9.98208E-02 |
 |   158 | -3.81971E-02 -1.83708E-01 -1.05169E-01 |
 |   159 | -2.44444E-02 -1.91606E-01 -4.63580E-02 |
 |   160 | -2.99991E-02 -1.93769E-01 -6.21907E-02 |
 |   161 | -3.55537E-02 -1.95933E-01 -7.80235E-02 |
 |   162 | -3.94151E-02 -1.99937E-01 -8.89418E-02 |
 |   163 | -4.32764E-02 -2.03941E-01 -9.98601E-02 |
 |   164 | -4.50489E-02 -2.09025E-01 -1.02468E-01 |
 |   165 | -4.68213E-02 -2.14110E-01 -1.05077E-01 |
 |   173 |  3.83204E-02  1.83938E-01 -1.05489E-01 |
 |   174 |  3.44101E-02  1.76138E-01 -1.00112E-01 |
 |   175 |  2.64515E-02  1.70243E-01 -7.83991E-02 |
 |   176 |  1.19470E-02  1.68015E-01 -4.67104E-02 |
 |   177 |  4.70555E-02  2.14546E-01 -1.05347E-01 |
 |   178 |  4.52249E-02  2.09359E-01 -1.02764E-01 |
 |   179 |  4.33943E-02  2.04173E-01 -1.00181E-01 |
 |   180 |  3.94650E-02  2.00112E-01 -8.91996E-02 |
 |   181 |  3.55357E-02  1.96052E-01 -7.82179E-02 |
 |   182 |  2.96522E-02  1.93828E-01 -6.23144E-02 |
 |   183 |  2.37687E-02  1.91605E-01 -4.64109E-02 |
 |   205 | -3.06227E-02 -1.55681E-01 -1.03696E-01 |
 |   206 | -2.58785E-02 -1.28629E-01 -1.04096E-01 |
 |   207 | -2.01913E-02 -9.87699E-02 -1.04208E-01 |
 |   208 | -1.37109E-02 -6.65477E-02 -1.04264E-01 |
 |   209 | -6.91397E-03 -3.34149E-02 -1.04304E-01 |
 |   210 |  6.27296E-06  9.19357E-05 -1.04318E-01 |
 |   211 |  6.92786E-03  3.35964E-02 -1.04304E-01 |
 |   212 |  1.37206E-02  6.67054E-02 -1.04262E-01 |
 |   213 |  2.01768E-02  9.88256E-02 -1.04205E-01 |
 |   214 |  2.58321E-02  1.28607E-01 -1.04138E-01 |
 |   215 |  3.06272E-02  1.55702E-01 -1.03928E-01 |
 |   216 | -3.16725E-02 -1.58055E-01 -1.02129E-01 |
 |   217 | -2.89568E-02 -1.43977E-01 -1.02324E-01 |
 |   218 | -2.62411E-02 -1.29899E-01 -1.02518E-01 |
 |   219 | -2.33180E-02 -1.14934E-01 -1.02545E-01 |
 |   220 | -2.03950E-02 -9.99681E-02 -1.02572E-01 |
 |   221 | -1.71345E-02 -8.37425E-02 -1.02571E-01 |
 |   222 | -1.38741E-02 -6.75169E-02 -1.02569E-01 |
 |   223 | -1.04306E-02 -5.06989E-02 -1.02570E-01 |
 |   224 | -6.98702E-03 -3.38809E-02 -1.02570E-01 |
 |   225 | -3.48251E-03 -1.68482E-02 -1.02570E-01 |
 |   226 |  2.20111E-05  1.84482E-04 -1.02569E-01 |
 |   227 |  3.52571E-03  1.72027E-02 -1.02571E-01 |
 |   228 |  7.02941E-03  3.42209E-02 -1.02573E-01 |
 |   229 |  1.04633E-02  5.09919E-02 -1.02578E-01 |
 |   230 |  1.38972E-02  6.77630E-02 -1.02582E-01 |
 |   231 |  1.71427E-02  8.39079E-02 -1.02596E-01 |
 |   232 |  2.03882E-02  1.00053E-01 -1.02610E-01 |
 |   233 |  2.32804E-02  1.14958E-01 -1.02611E-01 |
 |   234 |  2.61727E-02  1.29863E-01 -1.02612E-01 |
 |   235 |  2.89209E-02  1.43969E-01 -1.02418E-01 |
 |   236 |  3.16691E-02  1.58075E-01 -1.02224E-01 |
 |   237 | -3.26062E-02 -1.60596E-01 -1.00462E-01 |
 |   238 | -2.67898E-02 -1.31878E-01 -1.00809E-01 |
 |   239 | -2.06819E-02 -1.01409E-01 -1.00881E-01 |
 |   240 | -1.40484E-02 -6.86099E-02 -1.00864E-01 |
 |   241 | -7.07885E-03 -3.44699E-02 -1.00846E-01 |
 |   242 |  2.59070E-05  2.06533E-04 -1.00841E-01 |
 |   243 |  7.12428E-03  3.48480E-02 -1.00853E-01 |
 |   244 |  1.40742E-02  6.88824E-02 -1.00882E-01 |
 |   245 |  2.06717E-02  1.01527E-01 -1.00920E-01 |
 |   246 |  2.67444E-02  1.31883E-01 -1.00879E-01 |
 |   247 |  3.26062E-02  1.60612E-01 -1.00532E-01 |
 |   248 | -3.35399E-02 -1.63136E-01 -9.87943E-02 |
 |   249 | -3.04392E-02 -1.48497E-01 -9.89473E-02 |
 |   250 | -2.73384E-02 -1.33857E-01 -9.91003E-02 |
 |   251 | -2.41537E-02 -1.18354E-01 -9.91452E-02 |
 |   252 | -2.09689E-02 -1.02851E-01 -9.91902E-02 |
 |   253 | -1.75958E-02 -8.62768E-02 -9.91744E-02 |
 |   254 | -1.42227E-02 -6.97028E-02 -9.91586E-02 |
 |   255 | -1.06967E-02 -5.23809E-02 -9.91406E-02 |
 |   256 | -7.17067E-03 -3.50590E-02 -9.91227E-02 |
 |   257 | -3.57043E-03 -1.74152E-02 -9.91177E-02 |
 |   258 |  2.98029E-05  2.28584E-04 -9.91127E-02 |
 |   259 |  3.62447E-03  1.78518E-02 -9.91225E-02 |
 |   260 |  7.21914E-03  3.54751E-02 -9.91324E-02 |
 |   261 |  1.07351E-02  5.27384E-02 -9.91566E-02 |
 |   262 |  1.42511E-02  7.00018E-02 -9.91808E-02 |
 |   263 |  1.76032E-02  8.65019E-02 -9.92055E-02 |
 |   264 |  2.09553E-02  1.03002E-01 -9.92302E-02 |
 |   265 |  2.41357E-02  1.18452E-01 -9.91878E-02 |
 |   266 |  2.73161E-02  1.33902E-01 -9.91454E-02 |
 |   267 |  3.04297E-02  1.48526E-01 -9.89927E-02 |
 |   268 |  3.35432E-02  1.63149E-01 -9.88400E-02 |
 |   269 | -3.44009E-02 -1.65958E-01 -9.71127E-02 |
 |   270 | -2.79454E-02 -1.36379E-01 -9.73650E-02 |
