
 !***TRACE Bacon number     1 on file (49)***


 (1.n)= n (average) component(s) per node
 (2.n)= n (average) component(s) per element
 (3.n)= n component(s) per node per element

 --------------------------------
 | Elements | V. Mises:U.S(2.1) |
 |      243 |       1.60861E+01 |
 |      244 |       1.65616E+01 |
 |      245 |       1.72858E+01 |
 |      246 |       1.82764E+01 |
 |      247 |       1.82520E+01 |
 |      248 |       1.72910E+01 |
 |      249 |       1.65929E+01 |
 |      250 |       1.61446E+01 |
 |      251 |       1.59264E+01 |
 |      252 |       1.59261E+01 |
 |      253 |       1.61437E+01 |
 |      254 |       1.65915E+01 |
 |      255 |       1.72893E+01 |
 |      256 |       1.82502E+01 |
 |      257 |       1.82570E+01 |
 |      258 |       1.73296E+01 |
 |      259 |       1.66684E+01 |
 |      260 |       1.62611E+01 |
 |      261 |       1.60700E+01 |
 |      262 |       1.60698E+01 |
 |      263 |       1.62604E+01 |
 |      264 |       1.66673E+01 |
 |      265 |       1.73282E+01 |
 |      266 |       1.82562E+01 |
 |      267 |       1.83218E+01 |
 |      268 |       1.73801E+01 |
 |      269 |       1.67762E+01 |
 |      270 |       1.64430E+01 |
 |      271 |       1.62980E+01 |
 |      272 |       1.62978E+01 |
 |      273 |       1.64425E+01 |
 |      274 |       1.67752E+01 |
 |      275 |       1.73786E+01 |
 |      276 |       1.83207E+01 |
 |      277 |       1.83267E+01 |
 |      278 |       1.73959E+01 |
 |      279 |       1.69134E+01 |
 |      280 |       1.67049E+01 |
 |      281 |       1.66356E+01 |
 |      282 |       1.66354E+01 |
 |      283 |       1.67044E+01 |
 |      284 |       1.69126E+01 |
 |      285 |       1.73948E+01 |
 |      286 |       1.83249E+01 |
 |      287 |       1.82923E+01 |
 |      288 |       1.73492E+01 |
 |      289 |       1.70863E+01 |
 |      290 |       1.70750E+01 |
 |      291 |       1.71110E+01 |
 |      292 |       1.71109E+01 |
 |      293 |       1.70745E+01 |
 |      294 |       1.70856E+01 |
 |      295 |       1.73482E+01 |
 |      296 |       1.82907E+01 |
 |      297 |       1.79387E+01 |
 |      298 |       1.71900E+01 |
 |      299 |       1.73313E+01 |
 |      300 |       1.75809E+01 |
 |      301 |       1.77394E+01 |
 |      302 |       1.77392E+01 |
 |      303 |       1.75804E+01 |
 |      304 |       1.73305E+01 |
 |      305 |       1.71886E+01 |
 |      306 |       1.79386E+01 |
 |      307 |       1.68636E+01 |
 |      308 |       1.70055E+01 |
 |      309 |       1.76843E+01 |
 |      310 |       1.82211E+01 |
 |      311 |       1.84972E+01 |
 |      312 |       1.84971E+01 |
 |      313 |       1.82206E+01 |
 |      314 |       1.76834E+01 |
 |      315 |       1.70041E+01 |
 |      316 |       1.68631E+01 |
 |      317 |       1.52881E+01 |
 |      318 |       1.68733E+01 |
 |      319 |       1.81393E+01 |
 |      320 |       1.89313E+01 |
 |      321 |       1.93067E+01 |
 |      322 |       1.93065E+01 |
 |      323 |       1.89308E+01 |
 |      324 |       1.81385E+01 |
 |      325 |       1.68719E+01 |
 |      326 |       1.52869E+01 |
 |      327 |       1.39005E+01 |
 |      328 |       1.68274E+01 |
 |      329 |       1.85915E+01 |
 |      330 |       1.95934E+01 |
 |      331 |       2.00449E+01 |
 |      332 |       2.00448E+01 |
 |      333 |       1.95930E+01 |
 |      334 |       1.85908E+01 |
 |      335 |       1.68258E+01 |
 |      336 |       1.38963E+01 |
 |      337 |       1.31885E+01 |
 |      338 |       1.68559E+01 |
